Year,Type,Country,Fatal_injury,Species,Length,Weight
1990,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,550,1760
1991,Unprovoked,USA,N,BLACKTIP SHARK,180,30
1991,Unprovoked,USA,N,BULL SHARK,270,123
1991,Unprovoked,USA,Y,TIGER SHARK,290,133
1991,Unprovoked,USA,N,TIGER SHARK,290,133
1991,Unprovoked,HONG KONG,Y,TIGER SHARK,325,218
1991,Unprovoked,REUNION,N,TIGER SHARK,350,283
1991,Unprovoked,USA,Y,TIGER SHARK,370,343
1991,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,350,424
1991,Unprovoked,AUSTRALIA,Y,WHITE SHARK,400,650
1991,Boating,ITALY,N,WHITE SHARK,400,650
1991,Unprovoked,USA,N,WHITE SHARK,500,1300
1991,Unprovoked,USA,N,WHITE SHARK,550,1760
1991,Unprovoked,USA,N,WHITE SHARK,550,1760
1991,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,550,1760
1991,Unprovoked,USA,N,WHITE SHARK,600,2287
1992,Unprovoked,SOUTH AFRICA,N,BLACKTIP SHARK,150,17
1992,Unprovoked,BAHAMAS,N,BLACKTIP SHARK,180,30
1992,Unprovoked,USA,N,BLACKTIP SHARK,200,42
1992,Unprovoked,SOUTH AFRICA,N,BULL SHARK,170,32
1992,Unprovoked,AUSTRALIA,N,COPPER SHARK,230,55
1992,Unprovoked,AUSTRALIA,N,COPPER SHARK,300,125
1992,Unprovoked,FIJI,N,HAMMERHEAD SHARK,300,117
1992,Unprovoked,USA,N,SHORTFIN MAKO SHARK,180,23
1992,Unprovoked,USA,N,TIGER SHARK,240,72
1992,Unprovoked,USA,Y,TIGER SHARK,335,239
1992,Unprovoked,REUNION,Y,TIGER SHARK,350,283
1992,Unprovoked,USA,N,TIGER SHARK,400,432
1992,Unprovoked,USA,N,TIGER SHARK,430,560
1992,Unprovoked,USA,N,WHITE SHARK,250,152
1992,Unprovoked,AUSTRALIA,N,WHITE SHARK,400,650
1992,Unprovoked,NEW ZEALAND,N,WHITE SHARK,400,650
1992,Unprovoked,AUSTRALIA,Y,WHITE SHARK,420,751
1992,Unprovoked,USA,N,WHITE SHARK,450,929
1992,Boating,USA,N,WHITE SHARK,500,1300
1992,Unprovoked,JAPAN,Y,WHITE SHARK,500,1300
1992,Unprovoked,USA,N,WHITE SHARK,575,1983
1992,Unprovoked,USA,N,WHITE SHARK,650,2913
1993,Unprovoked,BAHAMAS,N,BLACKTIP SHARK,180,30
1993,Unprovoked,USA,N,BULL SHARK,300,168
1993,Provoked,AUSTRALIA,N,COPPER SHARK,150,15
1993,Unprovoked,USA,Y,TIGER SHARK,240,72
1993,Unprovoked,USA,N,TIGER SHARK,370,343
1993,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,300,260
1993,Unprovoked,ANGOLA,N,WHITE SHARK,300,260
1993,Unprovoked,EL SALVADOR,N,WHITE SHARK,370,512
1993,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,400,650
1993,Unprovoked,USA,N,WHITE SHARK,450,929
1993,Unprovoked,AUSTRALIA,Y,WHITE SHARK,500,1300
1993,Unprovoked,USA,N,WHITE SHARK,550,1760
1993,Unprovoked,AUSTRALIA,Y,WHITE SHARK,550,1760
1993,Boating,USA,N,WHITE SHARK,600,2287
1993,Boating,USA,N,WHITE SHARK,600,2287
1993,Boating,AUSTRALIA,N,WHITE SHARK,600,2287
1993,Unprovoked,USA,N,WHITE SHARK,600,2287
1994,Unprovoked,REUNION,Y,BULL SHARK,325,210
